"-- Please Select --","-- Selecteer alstublieft --","en_US_1.9.1","en_US_1.9.3.7"
"Add to Cart","Voeg toe aan winkelwagen","en_US_1.9.1","en_US_1.9.3.7"
"Choose an Option...","Choose an Option...","en_US_1.9.1","en_US_1.9.3.7"
"Configurable Swatches","Configurable Swatches","en_US_1.9.1","en_US_1.9.3.7"
"Dynamic Price Change for Swatches in Product Listing","Dynamic Price Change for Swatches in Product Listing","en_US_1.9.3.0","en_US_1.9.3.7"
"Enabled","Ingeschakeld","en_US_1.9.1","en_US_1.9.3.7"
"General Settings","General Settings","en_US_1.9.1","en_US_1.9.3.7"
"Height","Hoogte","en_US_1.9.1","en_US_1.9.3.7"
"In Stock","In Stock","en_US_1.9.1","en_US_1.9.3.7"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels","en_US_1.9.1","en_US_1.9.3.7"
"Out of Stock","Out of Stock","en_US_1.9.1","en_US_1.9.3.7"
"Previous","Previous","en_US_1.9.1","en_US_1.9.3.7"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing","en_US_1.9.1","en_US_1.9.3.7"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail","en_US_1.9.1","en_US_1.9.3.7"
"Remove This Item","Remove This Item","en_US_1.9.1","en_US_1.9.3.7"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation","en_US_1.9.1","en_US_1.9.3.7"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing","en_US_1.9.1","en_US_1.9.3.7"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page","en_US_1.9.1","en_US_1.9.3.7"
"Width","Breedte","en_US_1.9.1","en_US_1.9.3.7"
