" But cart has some errors."," But cart has some errors.","en_US_1.5.0","en_US_1.9.3.7"
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app.","en_US_1.8.0","en_US_1.9.3.7"
"""Description"" is more than %d characters long","""Description"" is more than %d characters long","en_US_1.5.1","en_US_1.9.3.7"
"""Title"" is more than %d characters long","""Title"" is more than %d characters long","en_US_1.5.0","en_US_1.9.3.7"
"""id"" attribute is required for a ""%s"" field.","""id"" attribute is required for a ""%s"" field.","en_US_1.6.2","en_US_1.9.3.7"
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" attribute is required for ""multiline"" element.","en_US_1.6.2","en_US_1.9.3.7"
"""message"" attribute is required for ""%s"" validator rule.","""message"" attribute is required for ""%s"" validator rule.","en_US_1.6.2","en_US_1.9.3.7"
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist.","en_US_1.5.0","en_US_1.9.3.7"
"%1$s incl tax.","%1$s incl tax.","en_US_1.5.0","en_US_1.9.3.7"
"%@ is not correct","%@ is not correct","en_US_1.8.0","en_US_1.9.3.7"
"%s API Key required.","%s API Key required.","en_US_1.5.1","en_US_1.9.3.7"
"%s Application ID required.","%s Application ID required.","en_US_1.5.1","en_US_1.9.3.7"
"%s Secret Key required.","%s Secret Key required.","en_US_1.5.1","en_US_1.9.3.7"
"%s attribute is required.","%s attribute is required.","en_US_1.6.2","en_US_1.9.3.7"
"%s fields is required","%s fields is required","en_US_1.8.0","en_US_1.9.3.7"
"%s has been added to your cart.","%s has been added to your cart.","en_US_1.5.0","en_US_1.9.3.7"
"%s id:","%s id:","en_US_1.8.0","en_US_1.9.3.7"
"%s was updated in your shopping cart.","%s was updated in your shopping cart.","en_US_1.8.0","en_US_1.9.3.7"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","en_US_1.5.1","en_US_1.9.3.7"
"* - field is required","* - field is required","en_US_1.8.0","en_US_1.9.3.7"
"*Subject to change","*Subject to change","en_US_1.6.0","en_US_1.9.3.7"
"1. Please select type of the action:","1. Please select type of the action:","en_US_1.8.0","en_US_1.9.3.7"
"10:40 AM","10:40 AM","en_US_1.5.0","en_US_1.9.3.7"
"2. Please select a page","2. Please select a page","en_US_1.8.0","en_US_1.9.3.7"
"2. Type Category Name","2. Type Category Name","en_US_1.8.0","en_US_1.9.3.7"
"2. Type Product Name","2. Type Product Name","en_US_1.8.0","en_US_1.9.3.7"
"80px x 80px","80px x 80px","en_US_1.5.0","en_US_1.9.3.7"
"80x80 px","80x80 px","en_US_1.5.0","en_US_1.9.3.7"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","en_US_1.6.0","en_US_1.7.0.2"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","en_US_1.8.0","en_US_1.9.3.7"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","en_US_1.5.0","en_US_1.9.3.7"
"A new password has been sent.","A new password has been sent.","en_US_1.5.0","en_US_1.9.3.7"
"About","About","en_US_1.8.0","en_US_1.9.3.7"
"Access forbidden","Access forbidden","en_US_1.8.0","en_US_1.9.3.7"
"Account","Account","en_US_1.5.0","en_US_1.9.3.7"
"Account Information","Account Information","en_US_1.8.0","en_US_1.9.3.7"
"Account Settings","Account Settings","en_US_1.8.0","en_US_1.9.3.7"
"Account confirmation is required. Please check your email for the confirmation link.","Account confirmation is required. Please check your email for the confirmation link.","en_US_1.5.0","en_US_1.9.3.7"
"Account information has been saved.","Account information has been saved.","en_US_1.5.0","en_US_1.9.3.7"
"Action","Action","en_US_1.5.0","en_US_1.9.3.7"
"Action type does\'t recognized","Action type does\'t recognized","en_US_1.8.0","en_US_1.9.3.7"
"Action type does\'t recognized.","Action type does\'t recognized.","en_US_1.8.0","en_US_1.9.3.7"
"Action type doesn\'t recognized.","Action type doesn\'t recognized.","en_US_1.8.0","en_US_1.9.3.7"
"Activate","Activate","en_US_1.5.0","en_US_1.9.3.7"
"Activate PayPal Checkout","Activate PayPal Checkout","en_US_1.5.0","en_US_1.9.3.7"
"Activate PayPal MECL","Activate PayPal MECL","en_US_1.6.2","en_US_1.9.3.7"
"Activation Key","Activation Key","en_US_1.5.0","en_US_1.9.3.7"
"Add","Add","en_US_1.8.0","en_US_1.9.3.7"
"Add Action","Add Action","en_US_1.8.0","en_US_1.9.3.7"
"Add Address from Contacts","Add Address from Contacts","en_US_1.8.0","en_US_1.9.3.7"
"Add App","Add App","en_US_1.5.0","en_US_1.9.3.7"
"Add Custom","Add Custom","en_US_1.8.0","en_US_1.9.3.7"
"Add New Address","Add New Address","en_US_1.8.0","en_US_1.9.3.7"
"Add New Template","Add New Template","en_US_1.5.0","en_US_1.9.3.7"
"Add Page","Add Page","en_US_1.5.0","en_US_1.9.3.7"
"Add To Wishlist","Add To Wishlist","en_US_1.8.0","en_US_1.9.3.7"
"Add a billing address","Add a billing address","en_US_1.8.0","en_US_1.9.3.7"
"Add a shipping address","Add a shipping address","en_US_1.8.0","en_US_1.9.3.7"
"Add to Cart","Add to Cart","en_US_1.5.0","en_US_1.9.3.7"
"Add to Wishlist","Add to Wishlist","en_US_1.5.0","en_US_1.9.3.7"
"Adding Product to Cart...","Adding Product to Cart...","en_US_1.8.0","en_US_1.9.3.7"
"Adding Product to WishList...","Adding Product to WishList...","en_US_1.8.0","en_US_1.9.3.7"
"Additional Address","Additional Address","en_US_1.5.0","en_US_1.9.3.7"
"Additional Info","Additional Info","en_US_1.8.0","en_US_1.9.3.7"
"Address","Address","en_US_1.5.0","en_US_1.9.3.7"
"Address 2","Address 2","en_US_1.5.0","en_US_1.9.3.7"
"Address Book","Address Book","en_US_1.8.0","en_US_1.9.3.7"
"Address Book Updated","Address Book Updated","en_US_1.8.0","en_US_1.9.3.7"
"Address Info","Address Info","en_US_1.8.0","en_US_1.9.3.7"
"Address book is empty","Address book is empty","en_US_1.8.0","en_US_1.9.3.7"
"Address data not specified.","Address data not specified.","en_US_1.5.0","en_US_1.9.3.7"
"Address does not belong to this customer.","Address does not belong to this customer.","en_US_1.5.0","en_US_1.9.3.7"
"Address has been deleted.","Address has been deleted.","en_US_1.5.0","en_US_1.9.3.7"
